Seed,Baseline,Compressed,Agreement
66,MLP Baseline,MLP Pruned 50%,85.47486033519553
66,MLP Baseline,MLP Pruned 75%,90.94972067039106
66,MLP Baseline,MLP Distilled,71.8435754189944
67,RF Baseline,RF Pruned 50%,90.33519553072625
67,RF Baseline,RF Pruned 75%,83.40782122905028
67,RF Baseline,RF Pruned 87%,75.25139664804469
67,MLP Baseline,MLP Quantized,98.15642458100558
67,MLP Baseline,MLP Pruned 25%,89.55307262569832
67,MLP Baseline,MLP Pruned 50%,90.22346368715084
67,MLP Baseline,MLP Pruned 75%,90.22346368715084
67,MLP Baseline,MLP Distilled,75.19553072625699
68,RF Baseline,RF Pruned 50%,90.6145251396648
68,RF Baseline,RF Pruned 75%,84.1899441340782
68,RF Baseline,RF Pruned 87%,75.97765363128491
68,MLP Baseline,MLP Quantized,97.93296089385476
68,MLP Baseline,MLP Pruned 25%,90.33519553072625
68,MLP Baseline,MLP Pruned 50%,90.33519553072625
68,MLP Baseline,MLP Pruned 75%,90.33519553072625
68,MLP Baseline,MLP Distilled,71.45251396648045
69,RF Baseline,RF Pruned 50%,89.49720670391062
69,RF Baseline,RF Pruned 75%,82.79329608938546
69,RF Baseline,RF Pruned 87%,74.46927374301676
69,MLP Baseline,MLP Quantized,97.31843575418995
69,MLP Baseline,MLP Pruned 25%,87.76536312849163
69,MLP Baseline,MLP Pruned 50%,87.76536312849163
69,MLP Baseline,MLP Pruned 75%,87.76536312849163
69,MLP Baseline,MLP Distilled,74.63687150837988
70,RF Baseline,RF Pruned 50%,90.39106145251397
70,RF Baseline,RF Pruned 75%,85.2513966480447
70,RF Baseline,RF Pruned 87%,79.72067039106146
70,MLP Baseline,MLP Quantized,96.87150837988827
70,MLP Baseline,MLP Pruned 25%,89.66480446927375
70,MLP Baseline,MLP Pruned 50%,88.04469273743017
70,MLP Baseline,MLP Pruned 75%,88.04469273743017
70,MLP Baseline,MLP Distilled,72.40223463687151
71,RF Baseline,RF Pruned 50%,87.76536312849163
71,RF Baseline,RF Pruned 75%,80.16759776536313
71,RF Baseline,RF Pruned 87%,77.70949720670392
71,MLP Baseline,MLP Quantized,98.54748603351955
71,MLP Baseline,MLP Pruned 25%,93.63128491620112
71,MLP Baseline,MLP Pruned 50%,93.63128491620112
71,MLP Baseline,MLP Pruned 75%,93.63128491620112
71,MLP Baseline,MLP Distilled,73.35195530726257
