Seed,Model,Technique,Static_ms,Dynamic_ms
55,XGB,Prune 83%,0.0144,0.0177
55,XGB,Prune 92%,0.0135,0.0168
55,MLP,Distillation,34.6909,34.5454
56,RF,Baseline,0.0223,0.0225
56,MLP,Baseline,33.3143,33.099
56,XGB,Baseline,0.0161,0.0292
56,MLP,Quant INT8,0.0047,0.0051
56,RF,Quant INT8,0.0227,0.018
56,XGB,Quant INT8,0.0205,0.031
56,MLP,Prune 25%,34.9553,34.4004
56,MLP,Prune 50%,34.3027,34.4816
56,MLP,Prune 75%,34.5282,34.2281
56,RF,Prune 50%,0.018,0.0215
56,RF,Prune 75%,0.015,0.0136
56,RF,Prune 87%,0.0121,0.0114
56,XGB,Prune 67%,0.0152,0.0245
56,XGB,Prune 83%,0.0144,0.0223
56,XGB,Prune 92%,0.0135,0.0173
56,MLP,Distillation,34.6928,34.1096
57,RF,Baseline,0.0221,0.0222
57,MLP,Baseline,34.3666,34.3534
57,XGB,Baseline,0.0192,0.0258
57,MLP,Quant INT8,0.0047,0.0073
57,RF,Quant INT8,0.0187,0.0247
57,XGB,Quant INT8,0.0166,0.0321
57,MLP,Prune 25%,35.0935,37.11
57,MLP,Prune 50%,34.8557,34.4359
57,MLP,Prune 75%,34.5707,34.6629
57,RF,Prune 50%,0.0162,0.0209
57,RF,Prune 75%,0.0155,0.0141
57,RF,Prune 87%,0.0116,0.0116
57,XGB,Prune 67%,0.0148,0.0215
57,XGB,Prune 83%,0.0163,0.0222
57,XGB,Prune 92%,0.0104,0.0167
57,MLP,Distillation,35.8172,34.7955
58,RF,Baseline,0.0167,0.0273
58,MLP,Baseline,34.5112,34.3445
58,XGB,Baseline,0.0162,0.0289
58,MLP,Quant INT8,0.0046,0.0038
58,RF,Quant INT8,0.0224,0.0233
58,XGB,Quant INT8,0.0158,0.0276
58,MLP,Prune 25%,34.7014,34.9
58,MLP,Prune 50%,34.5606,36.8972
58,MLP,Prune 75%,35.1347,35.3854
58,RF,Prune 50%,0.0204,0.0216
58,RF,Prune 75%,0.0153,0.0132
58,RF,Prune 87%,0.0121,0.0117
58,XGB,Prune 67%,0.0149,0.0237
58,XGB,Prune 83%,0.0143,0.0176
58,XGB,Prune 92%,0.0107,0.0212
58,MLP,Distillation,35.0956,34.6988
59,RF,Baseline,0.024,0.0236
59,MLP,Baseline,34.8343,34.8518
59,XGB,Baseline,0.017,0.0306
59,MLP,Quant INT8,0.0046,0.0042
59,RF,Quant INT8,0.0171,0.0232
59,XGB,Quant INT8,0.0213,0.0306
59,MLP,Prune 25%,35.2731,34.755
59,MLP,Prune 50%,35.0309,34.9005
59,MLP,Prune 75%,36.8469,34.6442
59,RF,Prune 50%,0.0167,0.0213
59,RF,Prune 75%,0.0149,0.0132
59,RF,Prune 87%,0.012,0.0116
59,XGB,Prune 67%,0.0212,0.0249
59,XGB,Prune 83%,0.0146,0.0173
59,XGB,Prune 92%,0.011,0.0175
59,MLP,Distillation,36.1834,35.5742
60,RF,Baseline,0.0222,0.0228
60,MLP,Baseline,35.4181,35.2141
60,XGB,Baseline,0.0216,0.031
60,MLP,Quant INT8,0.0046,0.0038
60,RF,Quant INT8,0.0228,0.0242
60,XGB,Quant INT8,0.0201,0.0326
60,MLP,Prune 25%,36.0948,35.2931
60,MLP,Prune 50%,35.4416,35.4136
60,MLP,Prune 75%,35.5767,35.3969
60,RF,Prune 50%,0.0205,0.021
60,RF,Prune 75%,0.0149,0.0141
60,RF,Prune 87%,0.012,0.011
60,XGB,Prune 67%,0.0151,0.0215
60,XGB,Prune 83%,0.0163,0.0224
60,XGB,Prune 92%,0.0111,0.0224
60,MLP,Distillation,38.3896,35.629
61,RF,Baseline,0.0228,0.0234
61,MLP,Baseline,35.4789,35.3339
61,XGB,Baseline,0.0204,0.0327
61,MLP,Quant INT8,0.0047,0.0038
61,RF,Quant INT8,0.0189,0.0226
61,XGB,Quant INT8,0.0215,0.0276
61,MLP,Prune 25%,36.4158,36.6332
61,MLP,Prune 50%,35.3266,35.2455
61,MLP,Prune 75%,35.3902,35.4957
61,RF,Prune 50%,0.0205,0.0173
61,RF,Prune 75%,0.0153,0.0133
61,RF,Prune 87%,0.0114,0.0116
61,XGB,Prune 67%,0.0151,0.0216
61,XGB,Prune 83%,0.0146,0.0224
61,XGB,Prune 92%,0.0134,0.0224
61,MLP,Distillation,36.0973,35.6692
62,RF,Baseline,0.0226,0.018
62,MLP,Baseline,37.683,35.3381
62,XGB,Baseline,0.0207,0.0328
62,MLP,Quant INT8,0.0069,0.0038
62,RF,Quant INT8,0.0168,0.0175
62,XGB,Quant INT8,0.0168,0.0315
62,MLP,Prune 25%,36.3134,35.7941
62,MLP,Prune 50%,35.6191,35.0431
62,MLP,Prune 75%,35.1415,35.2854
62,RF,Prune 50%,0.0187,0.0212
62,RF,Prune 75%,0.0143,0.014
62,RF,Prune 87%,0.0122,0.0131
62,XGB,Prune 67%,0.0168,0.02
62,XGB,Prune 83%,0.0125,0.0225
62,XGB,Prune 92%,0.0108,0.0254
62,MLP,Distillation,36.3787,35.8401
63,RF,Baseline,0.0226,0.0176
63,MLP,Baseline,35.6892,35.3776
63,XGB,Baseline,0.0169,0.0331
63,MLP,Quant INT8,0.0046,0.0037
63,RF,Quant INT8,0.0226,0.0226
63,XGB,Quant INT8,0.0213,0.0256
63,MLP,Prune 25%,38.5957,35.9832
63,MLP,Prune 50%,35.4812,35.5411
63,MLP,Prune 75%,35.8109,36.3716
63,RF,Prune 50%,0.0178,0.0208
63,RF,Prune 75%,0.0148,0.0134
63,RF,Prune 87%,0.0124,0.0116
63,XGB,Prune 67%,0.0168,0.0209
63,XGB,Prune 83%,0.0156,0.0264
63,XGB,Prune 92%,0.0136,0.0236
63,MLP,Distillation,36.4388,35.3616
64,RF,Baseline,0.0234,0.0236
64,MLP,Baseline,35.3659,35.051
64,XGB,Baseline,0.02,0.0255
64,MLP,Quant INT8,0.0046,0.0037
64,RF,Quant INT8,0.0216,0.0226
64,XGB,Quant INT8,0.022,0.0259
64,MLP,Prune 25%,35.9823,35.4865
64,MLP,Prune 50%,35.5227,35.6752
64,MLP,Prune 75%,35.6368,35.8525
64,RF,Prune 50%,0.0181,0.0233
